Car Name,Transmission,Kilometers Run,Fuel Type,Body Type,Previous Owners,Price
2015 Maruti Wagon R,automatic,"61,885 kms",Petrol,Hatchback,1,"3,42,000"
2016 Maruti Wagon R,manual,"70,368 kms",CNG,Hatchback,1,"4,07,500"
2020 Toyota Glanza,manual,"12,903 kms",Petrol,Hatchback,1,"7,38,000"
2016 Maruti Celerio,automatic,"1,06,690 kms",Petrol,Hatchback,1,"3,69,000"
2018 Maruti Swift,manual,"37,449 kms",Petrol,Hatchback,1,"5,52,000"
2019 Renault KWID,manual,"13,290 kms",Petrol,Hatchback,1,"3,37,000"
2016 Renault KWID,manual,"24,876 kms",Petrol,Hatchback,1,"2,90,000"
2014 Hyundai Grand i10,automatic,"83,100 kms",Petrol,Hatchback,1,"4,14,000"
2018 Nissan Micra Active,manual,"22,245 kms",Petrol,Hatchback,1,"3,00,000"
2011 Maruti Wagon R,manual,"44,738 kms",Petrol,Hatchback,1,"2,44,000"
2015 Maruti Wagon R,automatic,"36,245 kms",Petrol,Hatchback,1,"3,60,000"
2013 Hyundai i10,manual,"24,282 kms",Petrol,Hatchback,1,"2,55,000"
2014 Honda Brio,manual,"69,913 kms",Petrol,Hatchback,1,"3,39,500"
2018 Maruti Alto K10,manual,"14,365 kms",Petrol,Hatchback,1,"3,43,000"
2014 Maruti Alto 800,manual,"1,60,000 kms",CNG,Hatchback,1,"2,65,000"
2013 Mahindra XUV500,manual,"50,000 kms",Diesel,Hatchback,1,"7,00,000"
2012 Fiat Grande Punto,manual,"1,41,100 kms",Diesel,Hatchback,1,"1,28,000"
2012 Maruti Alto K10,manual,"55,384 kms",Petrol,Hatchback,1,"1,94,000"
2013 Jaguar XF,automatic,"25,000 kms",Diesel,Hatchback,1,"16,70,000"
2012 Audi A6,automatic,"75,000 kms",Diesel,Hatchback,1,"10,50,000"
2019 Tata Tiago,manual,"18,962 kms",Petrol,Hatchback,1,"4,45,000"
2013 Maruti Swift,manual,"61,430 kms",Petrol,Hatchback,1,"3,38,000"
2017 Hyundai Grand i10,manual,"62,428 kms",Petrol,Hatchback,1,"4,20,000"
2016 Datsun RediGO,manual,"37,152 kms",Petrol,Hatchback,1,"2,08,500"
2012 Maruti Swift,manual,"89,923 kms",Petrol,Hatchback,1,"3,08,000"
2015 Maruti Wagon R,manual,"27,980 kms",Petrol,Hatchback,1,"2,80,000"
2011 Maruti Zen Estilo,manual,"49,030 kms",Petrol,Hatchback,1,"2,17,000"
2018 Renault KWID,automatic,"33,085 kms",Petrol,Hatchback,1,"3,65,000"
2016 Hyundai i20,manual,"54,273 kms",Petrol,Hatchback,1,"6,49,500"
2017 Maruti Alto K10,manual,"36,396 kms",Petrol,Hatchback,1,"3,26,500"
2016 Maruti Baleno,manual,"70,700 kms",Petrol,Hatchback,1,"5,14,500"
2017 Hyundai i20,manual,"95,613 kms",Diesel,Hatchback,1,"6,49,500"
2015 Hyundai Grand i10,manual,"40,942 kms",Petrol,Hatchback,1,"4,10,500"
2014 Hyundai i20,manual,"29,681 kms",Petrol,Hatchback,1,"4,30,000"
2016 Volkswagen Polo,manual,"53,923 kms",Petrol,Hatchback,1,"5,63,000"
2014 Maruti Alto 800,manual,"31,044 kms",Petrol,Hatchback,1,"2,28,500"
2019 Maruti Swift,manual,"7,796 kms",Petrol,Hatchback,1,"5,43,000"
2017 Maruti Alto 800,manual,"44,479 kms",Petrol,Hatchback,1,"2,72,000"
2017 Maruti Wagon R,manual,"31,740 kms",Petrol,Hatchback,1,"3,89,000"
2015 Maruti Wagon R,manual,"70,158 kms",Petrol,Hatchback,1,"3,16,000"
2013 Hyundai EON,manual,"66,411 kms",Petrol,Hatchback,1,"1,99,000"
2016 Maruti Swift,manual,"33,124 kms",Petrol,Hatchback,1,"4,71,000"
2014 Honda Brio,manual,"36,768 kms",Petrol,Hatchback,1,"3,36,500"
2016 Maruti Swift,manual,"67,829 kms",Petrol,Hatchback,1,"4,44,500"
2015 Maruti Swift,manual,"46,140 kms",Petrol,Hatchback,1,"4,15,000"
