FlightName,Date,Departure time,Arrival Time,From,To,Duration,Stops,Price
IndiGo,"Sun, Feb 27, 2022",02:00,04:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Sun, Feb 27, 2022",06:30,08:40,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Air India,"Sun, Feb 27, 2022",07:00,09:05,New Delhi,Mumbai,02 h 05 m,Non stop,"₹ 5,955"
IndiGo,"Sun, Feb 27, 2022",07:15,09:25,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
SpiceJet,"Sun, Feb 27, 2022",07:20,09:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,955"
Go First,"Sun, Feb 27, 2022",08:00,10:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
Air India,"Sun, Feb 27, 2022",08:00,10:10,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,955"
IndiGo,"Sun, Feb 27, 2022",08:45,11:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,955"
AirAsia,"Sun, Feb 27, 2022",04:25,06:35,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 5,956"
Vistara,"Sun, Feb 27, 2022",07:30,09:45,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 5,956"
Vistara,"Sun, Feb 27, 2022",08:50,11:10,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 5,956"
Vistara,"Sun, Feb 27, 2022",09:30,11:35,New Delhi,Mumbai,02 h 05 m,Non stop,"₹ 5,956"
Air India,"Sun, Feb 27, 2022",09:00,11:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 6,375"
IndiGo,"Sun, Feb 27, 2022",09:30,12:00,New Delhi,Mumbai,02 h 30 m,Non stop,"₹ 6,585"
Vistara,"Sun, Feb 27, 2022",10:20,12:35,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 6,691"
SpiceJet,"Sun, Feb 27, 2022",18:55,21:05,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 6,794"
Go First,"Sun, Feb 27, 2022",18:50,21:10,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 7,110"
AirAsia,"Sun, Feb 27, 2022",20:45,07:15,New Delhi,Mumbai,10 h 30 m,1 stop via Bengaluru,"₹ 7,138"
Vistara,"Sun, Feb 27, 2022",19:00,21:15,New Delhi,Mumbai,02 h 15 m,Non stop,"₹ 7,531"
Vistara,"Sun, Feb 27, 2022",19:50,22:00,New Delhi,Mumbai,02 h 10 m,Non stop,"₹ 7,531"
IndiGo,"Sun, Feb 27, 2022",10:45,13:05,New Delhi,Mumbai,02 h 20 m,Non stop,"₹ 7,845"
